ID,Barcode,ProductName,Category,SearchDate,BranchID,Branch Name,ItemFoundStatus
2565,9781409598992,Lift-the-Flap Space,10086-CE Discover,2025-03-15 14:00:08.730,2,Zamalek,Found
2566,9781839405976,Space,10086-CE Discover,2025-03-15 14:00:12.440,2,Zamalek,Found
2567,9781683839798,Tarot del Toro,10211-E New Age,2025-03-15 14:06:19.440,14,Maadi,Found
2568,9786010020347,Bowl 18 cm,10280-General Home accessories,2025-03-15 14:07:06.840,14,Maadi,Found
2569,9781408350881,When the Crocodiles,10112-CE Storybooks,2025-03-15 14:13:30.193,2,Zamalek,Found
2570,9781839405976,Space,10086-CE Discover,2025-03-15 14:13:37.617,2,Zamalek,Found
2571,9781529029581,Before the Coffee Ge,10183-E General Fiction,2025-03-15 14:14:06.543,3,Heliopolis,Found
2572,9781398536425,Nothing Like the Mov,10226-E Romance,2025-03-15 14:14:50.737,3,Heliopolis,Found
2573,9780349439259,Binding 13,10226-E Romance,2025-03-15 14:15:58.280,3,Heliopolis,Found
2574,9780241636251,Artist's Drawing Tec,10180-E General Art,2025-03-15 14:19:56.010,2,Zamalek,Found
2575,9780349439259,Binding 13,,2025-03-15 14:22:42.540,3,Heliopolis,Not Found
2576,9780349439259,Binding 13,,2025-03-15 14:22:43.170,3,Heliopolis,Not Found
2577,9783836567671,History of Informati,10157-E Design & Illustration,2025-03-15 14:29:05.423,2,Zamalek,Found
2578,9781439772621,Bavarian Wild Flower,10391-E Journals,2025-03-15 14:34:36.500,2,Zamalek,Found
2579,9781439772621,Bavarian Wild Flower,10391-E Journals,2025-03-15 14:34:56.000,2,Zamalek,Found
2580,9789774167898,Hassan Fathy An Arch,10141-E Architecture,2025-03-15 14:38:33.790,2,Zamalek,Found
2581,9781783350827,The Idiot Brain,10185-E General Psychology,2025-03-15 15:06:42.193,2,Zamalek,Found
2583,8058647629148,Pocket Ruled Myrtle,10312-Notebooks,2025-03-15 15:13:50.423,14,Maadi,Found
2584,9789774168970,Great Book of Ancien,10163-E Egypt Essentials,2025-03-15 15:14:59.300,2,Zamalek,Found
2585,9789779924830,الهلكوت,10029-A Modern Fiction,2025-03-15 15:22:18.877,2,Zamalek,Found
2586,9789933506834,اكتساب القوة الرجل و,10033-A Personal Growth,2025-03-15 15:22:28.603,2,Zamalek,Found
2587,9781951213671,Cairo Circles,10183-E General Fiction,2025-03-15 15:39:26.077,2,Zamalek,Found
2588,9786010020347,Bowl 18 cm,10280-General Home accessories,2025-03-15 15:41:13.693,2,Zamalek,Found
2589,9789778800906,مستقبل علم المصريات,10022-A History,2025-03-15 15:44:07.523,2,Zamalek,Found
